当前数据库信息：
jdbc:oracle:thin:@192.168.10.106:1521:orcl, scjm2, scjm2
==================


1、数据库实例信息

startup_time, instance_name, host_name, version

2015-11-30, orcl, localhost.localdomain, 11.2.0.3.0


2、安装环境信息

version_time, database_role, resetlogs_change#, open_resetlogs, protection_level, standby_became_primary_scn, db_unique_name, supplemental_log_data_fk, archive_change#, activation#, platform_id, platform_name, created, controlfile_type, name, log_mode, dbid, current_scn, controlfile_time, flashback_on, fs_failover_status, supplemental_log_data_min, dataguard_broker, supplemental_log_data_all, archivelog_change#, controlfile_converted, guard_status, controlfile_change#, resetlogs_time, supplemental_log_data_pl, supplemental_log_data_pk, archivelog_compression, last_open_incarnation#, switchover_status, checkpoint_change#, recovery_target_incarnation#, protection_mode, open_mode, remote_archive, prior_resetlogs_time, supplemental_log_data_ui, fs_failover_threshold, force_logging, controlfile_sequence#, switchover#, prior_resetlogs_change#, controlfile_created

2014-07-09, PRIMARY, 995548, NOT ALLOWED, UNPROTECTED, 0, orcl, NO, 43050866, 1380247339, 13, Linux x86 64-bit, 2014-07-09, CURRENT, ORCL, NOARCHIVELOG, 1380260907, 43110179, 2016-01-15, NO, DISABLED, NO, DISABLED, NO, 0, NO, NONE, 43110154, 2014-07-09, NO, NO, DISABLED, 2, NOT ALLOWED, 43091204, 2, MAXIMUM PERFORMANCE, READ WRITE, ENABLED, 2011-09-17, NO, 0, NO, 222131, 1380247339, 1, 2014-07-09


3、数据库产品信息

product, status, version

NLSRTL, Production, 11.2.0.3.0

Oracle Database 11g Enterprise Edition, 64bit Production, 11.2.0.3.0

PL/SQL, Production, 11.2.0.3.0

TNS for Linux:, Production, 11.2.0.3.0


4、数据库安装配置信息

parameter, value

T_RP_17, RP230, 本年累计完成投资

T_RP_17, RP231, 本年累计用量同比

T_RP_17, RP232, 本月止完成进度(本月止完成投资/本年计划投资)

T_RP_17, AAE003, 年月

T_RP_18, RP233, 填报明细流水号

T_RP_18, RP210, 填报流水号

T_RP_18, RP202, 序号

T_RP_18, RP203, 指标

T_RP_18, RP204, 单位

T_RP_18, RP234, 本年上月末贷款余额

T_RP_18, RP235, 本月新增贷款

T_RP_18, RP236, 本月末贷款余额

T_RP_18, RP237, 本月末贷款余额同比

T_RP_18, RP238, 贷款资金缺口

T_RP_18, AAE003, 年月

T_RP_19, RP240, 填报明细流水号

T_RP_19, RP210, 填报流水号

T_RP_19, RP239, 产品代码

T_RP_19, RP241, 产品名称

T_RP_19, RP204, 单位

T_RP_19, RP242, 本月产量RP242

T_RP_19, RP243, 当年累计产量RP243

T_RP_19, RP244, 本月同比产量

T_RP_19, RP245, 当年累计同比产量

T_RP_19, RP246, 下月预计产量

T_RP_19, RP247, 本月销售收入

T_RP_19, RP248, 当年累计销售收入

T_RP_19, RP249, 本月同比销售收入

T_RP_19, RP250, 当年累计同比销售收入

T_RP_19, RP251, 下月预计销售收入

T_RP_19, AAE003, 年月

T_SP_01, SP01001, 参数流水号

T_SP_01, SPB01002, 模版类型

T_SP_01, SP01003, 年度

T_SP_01, SP01004, 开始时间

T_SP_01, SP01005, 结束时间

T_SP_01, SPB01006, 所属系统

T_SP_01, AAE011, 操作人

T_SP_01, AAE036, 操作时间

T_SP_01, AAE010, 是否有效

T_SP_01, SPB01007, 所属行业

T_SP_01, SPB008, 所属地区

T_VF_01, PJ000, 项目流水号

T_VF_01, VF001, 核查流水号

T_VF_01, VFB001, 是否通过

T_VF_01, VF002, 核查详细信息

T_VF_01, AAE011, 经办人

T_VF_01, AAE036, 经办时间

T_VF_01, AAE013, 备注AAE013

T_VF_01, AAE010, 有效标记

XMBHLSB, XMLX, 项目类型

XMBHLSB, YEAR, 年度

XMBHLSB, LSH, 流水号

T_PJ17_17, PJ000, 项目流水号

T_PJ17_17, PJ1717002, 企业名称

T_PJ17_17, PJ1717005, 单位地址

T_PJ17_17, PJ1717008, 街道（乡、镇）

T_PJ17_17, PJB1717010, 企业所有制性质（单位性质）

T_PJ17_17, PJ1717015, 企业总资产

T_PJ17_17, PJ1717016, 固定资产原值

T_PJ17_16, PJ1716003, 服务能力提升（建设内容）

T_PJ17_16, PJ1716004, 服务能力提升（建设内容）项目投资

T_PJ17_16, PJ1716011, 项目建设开始时间

T_PJ17_15, PJ000, 项目流水号

T_PJ17_15, PJ1715003, 注册时间

T_PJ17_15, PJ1715006, 从业人数

T_PJ17_15, PJ1715009, 联系人办公电话

T_PJ17_15, PJ1715014, 服务场地地址

T_PJ17_15, PJ1715017, 服务场地面积

T_PJ17_15, PJ1715019, 租用 (平方米)

T_PJ17_15, PJ1715021, 中级及以上技术职称专业人员

T_PJ17_15, PJ1715025, 获得政府支持情况

T_PJ17_15, PJB1715028, 单位性质

T_PJ17_15, PJ1715030, 软硬件等服务设施情况

T_PJ17_14, PJ1714006, 利润总额

T_PJ17_14, PJ1714007, 缴纳税金

T_PJ17_14, PJ1714009, 大专及中级以上专业技术职称人员

T_PJ17_03, PJ000, 项目流水号

T_PJ17_03, PJ1703002, 企业名称

T_PJ17_03, PJ1703007, 法人代表

T_PJ17_03, PJ1701008, 银行对公账号

T_PJ17_03, PJB1703012, 所属地区代码

T_PJ17_03, PJ1703013, 组织机构代码

T_PJ17_02, PJB1702002, 申报方向大项

T_PJ17_02, PJB1702003, 申报方向子项

T_PJ17_02, PJ1702005, 申请专项已投入资金-银行贷款

T_PJ17_02, PJ1702010, 其他资金

T_PJ17_02, PJ1702011, 已获得财政补助资金

T_PJ17_01, PJ1701001, 流水号

T_PJ17_01, PJ000, 项目流水号

T_PJ17_01, PJ1701005, 企业地址

T_PJ17_01, PJ1701006, 开户银行

T_PJ17_01, PJ1701009, 申报联系人办公电话

T_PJ17_01, PJ1701010, 财务联系电话

T_PJ17_01, PJB1701015, 注册类型

T_PJ16_13, PJ1613005, 去年绝对值

T_PJ16_14, PJ1614001, 流水号

T_PJ16_14, PJ1614003, 新增利润

T_PJ16_14, PJ1614004, 新增税金

T_PJ16_15, PJ1615001, 流水号

T_PJ16_15, PJ000, 项目流水号

T_PJ16_15, PJ1615002, 单位名称

T_PJ16_13, PJ1613004, 单位

T_PJ16_15, PJ1615003, 注册时间

T_PJ16_15, PJ1615004, 注册地点

T_PJ16_15, PJ1615005, 所属产业园区

T_PJ16_15, PJB1615008, 园区类型

T_PJ16_15, EP035, 行业大类

T_PJ16_15, EP033, 行业中类

T_PJ16_15, PJ1615009, 注册资本

T_PJ16_15, PJ1615012, 其中政府出资

T_PJ16_15, PJ1615013, 联系地址

T_PJ16_15, PJ1615014, 法人代表

T_PJ16_15, PJ1615015, 联系人

T_PJ16_15, PJ1615018, 联系电话

T_PJ16_15, PJ1615019, 传真

T_PJ16_15, PJ1615020, 移动电话

T_PJ16_15, PJ1615021, 邮政编码

T_PJ16_15, PJ1615022, 经营范围

T_PJ16_15, EP040, 所在市州编码

T_PJ16_15, EP041, 所在区县编码

T_PJ16_15, PJ1615025, 园区地址

T_PJ16_15, PJ1615028, 登记日期及证件号

T_PJ16_15, PJ1615029, 开户银行

T_PJ16_15, PJ1615030, 账号

T_PJ16_15, PJB1615031, 项目性质

T_PJ16_15, PJ1615032, 国有成分占

T_PJ16_16, PJ1616001, 流水号

T_PJ16_16, PJ000, 项目流水号

T_PJ16_16, PJ1616002, 年度

T_PJ16_16, PJ1616005, 利润总额

T_PJ16_16, PJ1616006, 上缴税金

T_PJ16_16, PJ1616007, 所有者权益

T_PJ16_16, PJ1616010, 在保中小企业项目责任余额

T_PJ16_16, PJ1616011, 当年批准担保项目个数

T_PJ16_16, PJ1616014, 当年批准担保到位金额

T_PJ16_16, PJ1616015, 当年批准中小企业担保项目个数

T_PJ16_16, PJ1616018, 当年批准中小企业担保到位额

T_PJ16_16, PJ1616019, 当年解除担保责任项目个数

T_PJ16_16, PJ1616021, 平均放大倍数

T_PJ16_16, PJ1616022, 平均担保费率

T_PJ16_16, PJ1616023, 担保中小企业保费收入

T_PJ16_17, PJ1617001, 流水号

T_PJ16_17, PJ000, 项目流水号

T_PJ16_17, PJ1617004, 设立以来累计担保企业个数

T_PJ16_17, PJ1617005, 设立以来累计为园区中小企业贷款担保额

T_PJ16_17, PJ1617008, 设立以来累计代偿额

T_PJ16_17, PJ1617009, 代偿损失率

T_PJ16_17, PJ1617010, 在保中小企业个数

T_PJ16_17, PJ1617011, 在保园区中小企业个数

T_PJ16_18, PJ1618001, 流水号

T_PJ16_18, PJ000, 项目流水号

T_PJ16_18, PJ1618002, 项目实施开始时间

T_PJ16_18, PJ1618006, 财政配套到位时间

T_PJ16_18, PJ1618007, 项目简述

T_PJ16_18, PJ1618008, 项目主要内容和特色

T_PJ16_18, PJ1618009, 项目实施条件

T_PJ16_18, PJ1618010, 项目总体实施方案

T_PJ16_18, PJ1618013, 风险分析

T_PJ16_18, PJ1618014, 项目实施开始时间（年月）

T_PJ16_18, PJ1618015, 项目实施结束时间（年月）

T_PJ16_18, PJB1618018, 项目类型

T_PJ16_18, PJ1618019, 主要使用方向

T_PJ16_19, PJ1619001, 流水号

T_PJ16_19, PJ000, 项目流水号

T_PJ16_19, PJ1619004, 占比（%）

T_PJ16_19, PJ1619005, 担保笔数

T_PJ16_19, PJ1619006, 担保笔数占比（%）

T_PJ16_19, PJ1619007, 担保企业数

T_PJ16_20, PJ1620002, 建设项目投资情况

T_PJ16_20, PJ1620003, 贷款

T_PJ16_20, PJ1620004, 自筹

T_PJ16_20, PJ1620005, 其他资金

T_PJ16_20, PJ1620006, 预计投资备注

T_PJ16_21, PJ1621001, 流水号

T_PJ16_21, PJ000, 项目流水号

T_PJ16_21, PJ1621002, 年度

T_PJ16_21, PJ1621003, 资产合计

T_PJ16_21, PJ1621004, 负债合计

T_PJ16_21, PJ1621008, 国有资产期末合计

T_PJ16_21, PJ1621009, 国有资产保值增值率（%）

T_PJ16_21, PJ1621010, 当年投资总额

T_PJ16_21, PJ1621011, 当年融资总额

T_PJ16_21, PJ1621014, 当年贷款责任解除项目个数

T_PJ16_21, PJ1621015, 当年贷款责任解除项目金额

T_PJ16_21, PJ1621018, 当年建成项目合计（总额）

T_PJ16_21, PJ1621019, 高新技术项目（个数）

T_PJ16_21, PJ1621022, 战略性新兴产业项目（总额）

T_PJ16_21, PJ1621023, 企业技术改造项目（个数）

T_PJ16_21, PJ1621026, 企业退城入园项目（总额）

T_PJ16_21, PJ1621027, 其他项目（个数）

T_PJ16_21, PJ1621028, 其他项目（总额）

T_PJ16_22, PJ1622001, 流水号

T_PJ16_22, PJ000, 项目流水号

T_PJ16_22, PJ1622002, 配套项目投资情况

T_PJ16_22, PJ1622003, 贷款（万元）

T_PJ16_22, PJ1622006, 备注

T_PJ16_23, PJ1623001, 流水号

T_PJ16_23, PJ000, 项目流水号

T_PJ16_23, PJ1623002, 配套项目投资情况

T_PJ16_23, PJ1623003, 贷款（万元）

T_PJ16_23, PJ1623006, 备注

T_PJ17_01, PJ1701002, 企业名称

T_PJ17_01, PJ1701003, 注册时间

T_PJ17_01, PJ1701004, 财务负责人

T_PJ17_01, PJ1701007, 法人代表

T_PJ17_01, PJ1701008, 银行对公账号

T_PJ17_01, PJ1701011, 申报联系人手机

T_PJ17_01, PJB1701012, 所在地区代码

T_PJ17_01, PJ1701013, 组织机构代码

T_PJ17_01, PJB1701014, 所属行业

T_PJ17_01, PJ1701016, 邮编

T_PJ17_01, PJ1701018, 经营范围

T_PJ17_01, PJ1701019, 主要产品及规模

T_PJ17_01, PJB1701020, 银行信用等级

T_PJ17_01, PJ1701023, 贷款卡编码

T_PJ17_02, PJ1702001, 流水号

T_PJ17_02, PJ000, 项目流水号

T_PJ17_02, PJ1702004, 申请专项已投入资金-合计

T_PJ17_02, PJ1702006, 银行贷款期限

T_PJ17_02, PJ1702007, 银行贷款利率

T_PJ17_02, PJ1702008, 银行贷款已支付利息

T_PJ17_02, PJ1702009, 自筹资金

T_PJ17_02, PJB1702012, 申请方式

T_PJ17_02, PJ1702013, 申请金额

T_PJ17_02, PJ1702014, 贷款金额合计

T_PJ17_02, PJ1702015, 支付利息金额合计

T_PJ17_03, PJ1703001, 流水号

T_PJ17_03, PJ1703003, 注册时间

T_PJ17_03, PJ1703004, 联系人

T_PJ17_03, PJ1703005, 企业地址

T_PJ17_03, PJ1703006, 从业人数

T_PJ17_03, PJ1703009, 联系人办公电话

T_PJ17_03, PJ1703010, 传真

T_PJ17_03, PJ1703011, 联系人手机

T_PJ17_03, PJ1703014, 服务场地地址

T_PJ17_03, PJ1703015, 单位网址

T_PJ17_03, PJ1703016, 邮编

T_PJ17_03, PJ1703017, 服务场地面积

T_PJ17_03, PJ1703018, 自有(平方米)

T_PJ17_03, PJ1703019, 租用 (平方米)

T_PJ17_03, PJ1703020, 大专以上人数

T_PJ17_03, PJ1703021, 中级及以上技术职称专业人员

T_PJ17_03, PJ1703022, 设备、仪器等服务设施情况

T_PJ17_03, PJ1703023, 主要业绩

T_PJ17_03, PJ1703024, 获得专业服务资质(资格)情况

T_PJ17_03, PJ1703025, 获得政府支持情况

T_PJ17_03, PJB1703026, 所属行业

T_PJ17_03, PJB1703027, 所服务的行业

T_PJ17_03, PJB1703028, 单位性质

T_PJ17_03, PJ1703029, 注册资本

T_PJ17_03, PJ1703030, 服务机构数

T_PJ17_03, PJ1703031, 邮箱

T_PJ17_03, PJ1703032, 单位负责人

T_PJ17_03, PJ1703033, 负责人电话

T_PJ17_03, PJ1703034, 负责人手机

T_PJ17_03, PJ1703035, 基地现有资产

T_PJ17_03, PJ1703036, 现有占地面积

T_PJ17_03, PJ1703037, 现有建筑面积

T_PJ17_03, PJ1703038, 创业及其他服务基本情况

T_PJ17_03, PJ1703039, 上级主管部门

T_PJ17_04, PJ1704001, 流水号

T_PJ17_04, PJ000, 项目流水号

T_PJ17_04, PJ1704002, 年度

T_PJ17_04, PJ1704003, 营业收入

T_PJ17_04, PJ1704004, 服务收入

T_PJ17_04, PJ1704005, 资产总额

T_PJ17_04, PJ1704006, 利润总额

T_PJ17_04, PJ1704007, 缴纳税金

T_PJ17_04, PJ1704008, 当年服务企业数量

T_PJ17_04, PJ1704009, 场地租赁收入

T_PJ17_04, PJ1704010, 培训人数

T_PJ17_05, PJ1705001, 流水号

T_PJ17_05, PJ000, 项目流水号

T_PJ17_05, PJ1705002, 年度

T_PJ17_05, PJ1705003, 入驻企业个数

T_PJ17_05, PJ1705004, 毕业企业个数

T_PJ17_05, PJ1705005, 在孵企业使用面积

T_PJ17_05, PJ1705006, 在孵企业销售收入总额

T_PJ17_05, PJ1705007, 在孵化企业就业人数

T_PJ17_05, PJ1705008, 培育新增规上企业个数

T_PJ17_06, PJ1706001, 流水号

T_PJ17_06, PJ000, 项目流水号

T_PJ17_06, PJ1706002, 项目名称

T_PJ17_06, PJ1706003, 项目基本情况

T_PJ17_06, PJ1706004, 项目实施条件

T_PJ17_06, PJ1706005, 项目总体实施方案

T_PJ17_06, PJ1706006, 项目预期经济及社会效益

T_PJ17_06, PJ1706007, 风险分析

T_PJ17_06, PJ1706008, 培训主要内容

T_PJ17_06, PJ1706010, 申请补助金额合计

T_PJ17_06, PJ1706011, 项目建设开始时间

T_PJ17_06, PJ1706012, 项目建设结束时间

T_PJ17_07, PJ1707001, 流水号

T_PJ17_07, PJ000, 项目流水号

T_PJ17_07, PJ1707002, 教师授课费

T_PJ17_07, PJ1707003, 教师食宿费

T_PJ17_07, PJ1707004, 交通费

T_PJ17_07, PJ1707005, 餐饮费

T_PJ17_07, PJ1707006, 资料费

T_PJ17_07, PJ1707007, 其他

T_PJ17_07, PJ1707008, 成本合计

T_PJ17_07, PJ1707009, 场地租金

T_PJ17_08, PJ1708001, 流水号

T_PJ17_08, PJ000, 项目流水号

T_PJ17_08, PJ1708002, 序号

T_PJ17_08, PJ1708003, 贷款金额

T_PJ17_08, PJ1708004, 贷款银行

T_PJ17_08, PJ1708005, 贷款起止期限（2013年6月30日-2014年6月30日期间新增）

T_PJ17_08, PJ1708006, 年利率（%）

T_PJ17_08, PJ1708007, 6月30日已支付利息金额

T_PJ17_08, PJ1708008, 用途

T_PJ17_09, PJ1709001, 流水号

T_PJ17_09, PJ000, 项目流水号

T_PJ17_09, PJ1709002, 年度

T_PJ17_09, PJ1709003, 1、资产总额

T_PJ17_09, PJ1709004, 其中：流动资产总额

T_PJ17_09, PJ1709005, 固定资产总额

T_PJ17_09, PJ1709006, 负债总额

T_PJ17_09, PJ1709007, 其中：银行贷款

T_PJ17_09, PJ1709008, 企业净资产额

T_PJ17_09, PJ1709009, 资产负债率

T_PJ17_09, PJ1709010, 营业收入

T_PJ17_09, PJ1709011, 利润总额

T_PJ17_09, PJ1709012, 上缴税金

T_PJ17_09, PJ1709013, 职工人数

T_PJ17_10, PJ1710001, 流水号

T_PJ17_10, PJ000, 项目流水号

T_PJ17_10, PJ1710002, 已购置设备、软件名录

T_PJ17_10, PJ1710003, 购置来源

T_PJ17_10, PJ1710004, 购置金额

T_PJ17_10, PJ1710005, 经济和社会效益

T_PJ17_11, PJ1711001, 流水号

T_PJ17_11, PJ000, 项目流水号

T_PJ17_11, PJ1711002, 已采购设备、软件名录

T_PJ17_11, PJ1711003, 购置来源

T_PJ17_11, PJ1711004, 购置金额

T_PJ17_11, PJ1711005, 经济和社会效益

T_PJ17_12, PJ1712001, 流水号

T_PJ17_12, PJ000, 项目流水号

T_PJ17_12, PJ1712002, 销售收入

T_PJ17_12, PJ1712003, 利润

T_PJ17_12, PJ1712004, 税收

T_PJ17_12, PJ1712005, 就业

T_PJ17_13, PJ1713001, 流水号

T_PJ17_13, PJ000, 项目流水号

T_PJ17_13, PJ1713002, 项目类别

T_PJ17_13, PJ1713003, 项目主要内容

T_PJ17_13, PJ1713004, 项目支出

T_PJ17_13, PJ1713005, 申请补助金额

T_PJ17_14, PJ1714001, 流水号

T_PJ17_14, PJ000, 项目流水号

T_PJ17_14, PJ1714002, 年度

AA10, AAA100, AAA100代码类别

AA10, AAA103, AAA103代码名称

AA10, YAB003, YAB003经办机构

AA10, AAE120, AAE120注销标志

AAA0, AAA122, 业务名称

AAA0, AAA123, 类型（业务、非业务）

ATTACHMENT, NEWSID, 新闻编码

ATTACHMENT, ATTNAME, 文件名

ATTACHMENT, PATH, 附件路径

ATTACHMENT, AAE010, 有效性标识

SERVERADDRESS, ADDRESS, 应用地址

SERVERADDRESS, CANUSE, 是否启用

TAACCESSLOG, LOGID, 日志id

TAACCESSLOG, USERID, 用户id

TAACCESSLOG, POSITIONID, 岗位id

TAACCESSLOG, ACCESSTIME, 访问时间

TAADMINYAB003SCOPE, POSITIONID, 岗位id

TAADMINYAB003SCOPE, YAB003, 分中心

TACOMMONMENU, USERID, 用户id

TACOMMONMENU, MENUID, 菜单id

TACONFIGSYSPATH, SERIALID, 流水号

TACONFIGSYSPATH, URL, 系统路径前缀

TACONFIGSYSPATH, PY, 拼音

TACONFIGSYSPATH, CURSYSTEM, 是否为当前系统

TACONSOLEMODULE, MODULE_ID, 模块编号

TACONSOLEMODULE, MODULE_NAME, 模块名称

TACONSOLEMODULE, MODULE_DEFAULT, 是否默认显示

TACONSOLEMODULE, MODULE_HEIGHT, 模块默认高度

TACONSOLEMODULELOCATION, LOCATION, 位置信息数据

TACONSOLEMODULEPRIVILEGE, POSITIONID, 角色编号

TACONSOLEMODULEPRIVILEGE, MODULEID, 模块编号

TALOCALCACHEVERSION, VERSION, 版本号

TALOCALCACHEVERSION, CODETYPE, 改动的type

TAMANAGERMG, POSITIONID, 岗位id

TAMANAGERMG, ORGID, 组织id

TAMENU, MENUID, 菜单Id

TAMENU, URL, 功能名称

TAMENU, MENUIDPATH, 菜单id路径

TAMENU, MENUNAMEPATH, 菜单名称路径

TAMENU, REPORTID, 查询报表的报表id

TAMENU, ACCESSTIMEEL, 访问限制时间表达式

TAMENU, ISDISMULTIPOS, 是否显示多岗

TAMENU, QUICKCODE, 快捷访问码

TAMENU, SORTNO, 排序号

TAMENU, MENULEVEL, 菜单层级

TAMENU, ISLEAF, 是否叶子节点

TAMENU, MENUTYPE, 菜单类型

TAMENU, ISCACHE, 是否缓存

TAMENU, SYSPATH, 系统路径

TAMENU, SYSTYPE, 系统类型（01申报系统，02监测系统）

TAMENU, TYPEFLAG, menu标识

TAMENUPOSITIONYAB003, MENUID, 菜单id

TAMENUPOSITIONYAB003, POSITIONID, 岗位id

TAMENUPOSITIONYAB003, YAB003, 分中心

TAORG, ORGID, 组织id

TAORG, PORGID, 组织父id

TAORG, ORGNAME, 组织名称

TAORG, COSTOMNO, 自定义编码

TAORG, COSTOMNOPATH, 自定义编码路径

TAORG, SORT, 排序号

TAORG, YAB003, 分中心

TAORG, DIMENSION, 视图维度

TAORG, CREATEUSER, 创建人

TAORG, CREATETIME, 创建时间

TAORG, EFFECTIVE, 有效性

TAORG, ORGLEVEL, 组织层级

TAORG, ISLEAF, 是否叶子节点

TAORG, TYPEFLAG, org标识

TAORG, ORGFLAG, 组织自定义类型

TAORGMG, POSITIONID, 岗位id

TAORGMG, ORGID, 组织id

TAORGOPLOG, INFLUENCEBODY, 影响主体

TAORGOPLOG, OPBODY, 操作主体类型（人员、组织、岗位、角色、权限资源）

TAORGOPLOG, OPSUBJEKT, 操作主体

TAORGOPLOG, CHANGCONTENT, 主体变更内容

TAORGOPLOG, OPTIME, 经办时间

TAORGOPLOG, OPUSER, 经办人

TAORGOPLOG, OPPOSITION, 经办岗位

TAPOSITION, POSITIONID, 岗位id

TAPOSITION, ORGID, 组织id

TAPOSITION, POSITIONNAME, 岗位名称

TAPOSITION, ORGIDPATH, 所在组织id路径

TAPOSITION, ORGNAMEPATH, 所在组织名称路径

TAPOSITION, VALIDTIME, 只针对委派生成的岗位

TAPOSITION, CREATEUSER, 创建人

TAPOSITION, CREATETIME, 创建时间

TAPOSITION, ISSHARE, 是否为共享岗位

TAPOSITION, ISCOPY, 是否为复制岗位

TAPOSITION, TYPEFLAG, 类标识

TAPOSITIONAUTHRITY, USEPERMISSION, 使用权限

TAPOSITIONAUTHRITY, REPERMISSION, 授权别人使用权限

TAPOSITIONAUTHRITY, CREATETIME, 创建时间

TAPOSITIONAUTHRITY, EFFECTTIME, 有效时间

TASHAREPOSITION, SPOSITIONID, 源岗位id

TASHAREPOSITION, DPOSITIONID, 复制岗位id

TAUSER, USERID, 人员id

TAUSER, NAME, 姓名

TAUSER, SEX, 性别

TAUSER, LOGINID, 登陆账号

TAUSER, ISLOCK, 锁定标志

TAUSER, SORT, 排序号

TAUSER, EFFECTIVE, 有效标志

TAUSER, TEL, 联系电话

TAUSER, CREATEUSER, 创建人

TAUSER, CREATETIME, 创建时间

TAUSER, TYPEFLAG, 类标识

TAUSERPOSITION, USERID, 人员id

TAUSERPOSITION, POSITIONID, 岗位id

TAUSERPOSITION, MAINPOSITION, 默认岗位

TAUSERPOSITION, CREATEUSER, 创建人

TAYAB003SCOPE, YAB003, 分中心

TBPM_AA10, AAA102, 条目码值

TBPM_AA10, AAA103, 条目名称

TBPM_ACTION, ID, 流水号

TBPM_ACTION, ACTION_TYPE, 动作类型

TBPM_ACTION, ACTION_NAME, 动作名称

TBPM_ACTION, ACTION_DESC, 动作描述

TBPM_ACTION, BTN_LIST, 按钮列表

TBPM_ACTION, CONTENT_LIST, 表单域列表

TBPM_ACTION, OFFICE_RIGHT, Office编辑权限

TBPM_DEPLOY, ID, 流水号

TBPM_DEPLOY, DEPLOY_TIME, 部署时间

TBPM_EXEC_RULE, ID, 流水号

TBPM_EXEC_RULE, TYPE, 规则类型

TBPM_EXEC_RULE, CONDITION_, 规则生效条件

TBPM_EXEC_RULE, NAME, 规则名称

TBPM_EXEC_RULE, ORDER_NO, 规则执行顺序

TBPM_EXEC_RULE, PROC_DEF_ID, 流程定义ID

TBPM_EXEC_RULE, NODE_DEF_ID, 节点定义ID

TBPM_EXEC_RULE, IS_MEMORY, 是否需要记录本次选择

TBPM_EXEC_RULE, TITLE_TPL, 任务标题定义

TBPM_EXEC_RULE, IS_IMMUTABLE, 是否为固定节点

TBPM_EXEC_RULE, IS_ATTACHMENT, 是否允许上传附件

TBPM_EXEC_RULE, NODEUSERID_DEFAULT, 任务默认执行者

TBPM_EXEC_RULE, NODEUSERID_SCOPE, 任务执行者范围

TBPM_EXEC_RULE, ASSIGN_TYPE, 任务分配模式

TBPM_EXEC_RULE, EXEC_TYPE, 任务执行模式

TBPM_EXEC_RULE, GRAB_TYPE, 任务抢占模式

TBPM_EXEC_RULE, SIGN_SETTING, 会签参数

TBPM_EXEC_RULE, SIGN_DECIDE_METHOD, 决策方式

TBPM_EXEC_RULE, VOTE_TYPE, 投票类型

TBPM_EXEC_RULE, VOTE_COUNT, 投票数量

TBPM_EXEC_RULE, IS_ADD_SIGN, 是否允许加签

TBPM_EXEC_RULE, LIMIT_TIME, 限制时间

TBPM_EXEC_RULE, TIMEOUT_ACTION, 超时处理动作

TBPM_EXEC_RULE, ACTION_SCRIPT, 超时处理脚本

TBPM_EXEC_RULE, REMIND_TYPE, 催办提醒方式（站内消息、短信、邮件）

TBPM_EXEC_RULE, REMIND_SET, 催办设置

TBPM_EXEC_RULE, REMIND_EMAIL_TPL, 催办邮件内容模板

TBPM_EXEC_RULE, REMIND_SMS_TPL, 催办短信内容模板

TBPM_EXEC_RULE, PHRASE_IDS, 常用语ID

TBPM_EXEC_RULE, IS_CONFIRM, 是否需要确认

TBPM_EXEC_RULE, NOTICE_AT, 通知时机

TBPM_EXEC_RULE, IS_OPEN_COMPLETE, 是否打开时自动完成

TBPM_EXEC_RULE, MSG_CONTENT_TPL, 消息内容模板

TBPM_EXEC_RULE, SENDBY, 消息发送者ID

TBPM_EXEC_RULE, RECEIVEBY, 消息接收者ID

TBPM_EXEC_RULE, COPY_TO, 抄送

TBPM_EXEC_RULE, DARK_TO, 暗送

TBPM_EXEC_RULE, JOIN_TYPE, 合并模式

TBPM_EXEC_RULE, OPTIONAL_NODE, 可选节点

TBPM_EXEC_RULE, IS_MANDATORY, 是否允许强制回退

TBPM_EXEC_RULE, BACK_RANGE, 回退范围

TBPM_EXEC_RULE, IS_WAIT, 是否任务等待

TBPM_EXEC_RULE, IS_JOIN, 是否任务合并

TBPM_EXEC_RULE, FORK_NODE, 分支节点

TBPM_EXEC_RULE, EXP_CONFIG, 表达式配置

TBPM_EXEC_RULE, SCRIPT_TYPE, 脚本分类

TBPM_EXEC_RULE, SCRIPT_TPL, 脚本内容

TBPM_EXEC_RULE, ROLLBACK_SERVICE, 回滚service

TBPM_EXEC_RULE, BIZ_ATTRIBUTE, 业务属性

TBPM_EXEC_RULE, ORG_TYPE, 分中心获取方式

TBPM_EXEC_USER, ID, 流水号

TBPM_EXEC_USER, PROC_DEF_ID, 流程定义ID

